result_id,student_id,exam_type,department,subject_scores,pass_or_fail
11,11,WASSCE,Science,"{'Mathematics': 56, 'English': 59, 'Physics': 48, 'Chemistry': 60, 'Civic Education': 67, 'Fisheries': 68, 'Economics': 54}",Fail
12,12,WASSCE,Science,"{'Mathematics': 52, 'English': 59, 'Physics': 56, 'Chemistry': 53, 'Biology': 57, 'Agricultural Science': 51, 'Data Processing': 67, 'Further Mathematics': 60}",Pass
13,13,WASSCE,Science,"{'Mathematics': 62, 'English': 51, 'Physics': 46, 'Chemistry': 68, 'Computer Science': 56, 'Visual Art': 53, 'Further Mathematics': 64, 'Yoruba': 62}",Fail
14,14,WASSCE,Science,"{'Mathematics': 69, 'English': 48, 'Physics': 59, 'Chemistry': 40, 'Data Processing': 63, 'Visual Art': 42, 'Further Mathematics': 48, 'Yoruba': 46}",Fail
15,15,WASSCE,Science,"{'Mathematics': 55, 'English': 68, 'Physics': 69, 'Chemistry': 57, 'Civic Education': 51, 'Fisheries': 54, 'Visual Art': 59, 'Further Mathematics': 65}",Pass
16,16,WASSCE,Science,"{'Mathematics': 59, 'English': 52, 'Physics': 62, 'Chemistry': 52, 'Biology': 51, 'Computer Science': 43, 'Data Processing': 73, 'Visual Art': 59, 'Further Mathematics': 57}",Pass
17,17,WASSCE,Science,"{'Mathematics': 52, 'English': 55, 'Physics': 55, 'Chemistry': 70, 'Computer Science': 57, 'Fisheries': 35, 'Visual Art': 60, 'Further Mathematics': 56}",Pass
18,18,WASSCE,Science,"{'Mathematics': 57, 'English': 57, 'Physics': 56, 'Chemistry': 41, 'Agricultural Science': 61, 'Civic Education': 58, 'Visual Art': 53}",Fail
19,19,WASSCE,Science,"{'Mathematics': 52, 'English': 62, 'Physics': 50, 'Chemistry': 55, 'Biology': 59, 'Computer Science': 47, 'Fisheries': 50, 'Economics': 65}",Pass
20,20,WASSCE,Science,"{'Mathematics': 55, 'English': 51, 'Physics': 59, 'Chemistry': 64, 'Civic Education': 55, 'Economics': 49, 'Visual Art': 58}",Pass
21,21,WASSCE,Science,"{'Mathematics': 57, 'English': 35, 'Physics': 74, 'Chemistry': 53, 'Biology': 57, 'Agricultural Science': 66, 'Economics': 60, 'Yoruba': 56}",Fail
22,22,WASSCE,Science,"{'Mathematics': 63, 'English': 45, 'Physics': 60, 'Chemistry': 45, 'Agricultural Science': 66, 'Computer Science': 47, 'Data Processing': 44, 'Yoruba': 48}",Fail
23,23,WASSCE,Science,"{'Mathematics': 48, 'English': 58, 'Physics': 69, 'Chemistry': 60, 'Agricultural Science': 50, 'Computer Science': 66, 'Civic Education': 64, 'Fisheries': 50}",Fail
24,24,WASSCE,Science,"{'Mathematics': 45, 'English': 65, 'Physics': 64, 'Chemistry': 39, 'Agricultural Science': 61, 'Computer Science': 50, 'Fisheries': 55, 'Economics': 66, 'Data Processing': 59}",Fail
25,25,WASSCE,Science,"{'Mathematics': 71, 'English': 53, 'Physics': 47, 'Chemistry': 64, 'Biology': 53, 'Agricultural Science': 58, 'Economics': 61, 'Data Processing': 51, 'Further Mathematics': 55}",Fail
26,26,WASSCE,Science,"{'Mathematics': 59, 'English': 49, 'Physics': 60, 'Chemistry': 48, 'Biology': 64, 'Agricultural Science': 66, 'Civic Education': 54, 'Economics': 63, 'Visual Art': 61}",Fail
27,27,WASSCE,Science,"{'Mathematics': 58, 'English': 63, 'Physics': 67, 'Chemistry': 55, 'Biology': 47, 'Agricultural Science': 69, 'Computer Science': 64, 'Civic Education': 62, 'Visual Art': 65}",Pass
28,28,WASSCE,Science,"{'Mathematics': 57, 'English': 59, 'Physics': 61, 'Chemistry': 55, 'Computer Science': 66, 'Economics': 52, 'Data Processing': 53, 'Further Mathematics': 61}",Pass
29,29,WASSCE,Science,"{'Mathematics': 71, 'English': 43, 'Physics': 66, 'Chemistry': 59, 'Biology': 59, 'Agricultural Science': 56, 'Visual Art': 55}",Pass
30,30,WASSCE,Science,"{'Mathematics': 48, 'English': 63, 'Physics': 64, 'Chemistry': 60, 'Biology': 46, 'Civic Education': 64, 'Fisheries': 55}",Fail
31,31,WASSCE,Science,"{'Mathematics': 48, 'English': 39, 'Physics': 54, 'Chemistry': 66, 'Computer Science': 44, 'Civic Education': 68, 'Fisheries': 51, 'Data Processing': 52, 'Further Mathematics': 66}",Fail
32,32,WASSCE,Science,"{'Mathematics': 52, 'English': 55, 'Physics': 51, 'Chemistry': 63, 'Computer Science': 59, 'Fisheries': 41, 'Visual Art': 58}",Pass
33,33,WASSCE,Science,"{'Mathematics': 66, 'English': 46, 'Physics': 86, 'Chemistry': 62, 'Biology': 69, 'Agricultural Science': 56, 'Fisheries': 46, 'Data Processing': 55}",Fail
34,34,WASSCE,Science,"{'Mathematics': 59, 'English': 76, 'Physics': 60, 'Chemistry': 61, 'Agricultural Science': 59, 'Computer Science': 67, 'Fisheries': 61, 'Visual Art': 44, 'Yoruba': 49}",Pass
35,35,WASSCE,Science,"{'Mathematics': 49, 'English': 55, 'Physics': 55, 'Chemistry': 53, 'Computer Science': 66, 'Fisheries': 51, 'Further Mathematics': 39}",Fail
36,36,WASSCE,Science,"{'Mathematics': 54, 'English': 54, 'Physics': 49, 'Chemistry': 45, 'Computer Science': 48, 'Civic Education': 48, 'Fisheries': 54, 'Data Processing': 52, 'Yoruba': 72}",Pass
37,37,WASSCE,Science,"{'Mathematics': 49, 'English': 64, 'Physics': 55, 'Chemistry': 56, 'Agricultural Science': 61, 'Fisheries': 50, 'Data Processing': 55, 'Visual Art': 48, 'Yoruba': 49}",Fail
38,38,WASSCE,Science,"{'Mathematics': 58, 'English': 51, 'Physics': 57, 'Chemistry': 53, 'Biology': 53, 'Fisheries': 68, 'Further Mathematics': 73, 'Yoruba': 45}",Pass
39,39,WASSCE,Science,"{'Mathematics': 43, 'English': 39, 'Physics': 58, 'Chemistry': 51, 'Civic Education': 75, 'Economics': 55, 'Data Processing': 50, 'Visual Art': 56, 'Yoruba': 56}",Fail
40,40,WASSCE,Science,"{'Mathematics': 61, 'English': 52, 'Physics': 71, 'Chemistry': 54, 'Civic Education': 58, 'Economics': 64, 'Data Processing': 59, 'Yoruba': 73}",Pass
41,41,WASSCE,Science,"{'Mathematics': 64, 'English': 67, 'Physics': 60, 'Chemistry': 69, 'Computer Science': 74, 'Civic Education': 61, 'Data Processing': 48, 'Visual Art': 49}",Pass
42,42,WASSCE,Science,"{'Mathematics': 63, 'English': 52, 'Physics': 58, 'Chemistry': 69, 'Civic Education': 61, 'Economics': 50, 'Data Processing': 69}",Pass
43,43,WASSCE,Science,"{'Mathematics': 63, 'English': 55, 'Physics': 58, 'Chemistry': 61, 'Agricultural Science': 54, 'Civic Education': 47, 'Data Processing': 47, 'Visual Art': 67, 'Yoruba': 46}",Pass
44,44,WASSCE,Science,"{'Mathematics': 52, 'English': 60, 'Physics': 49, 'Chemistry': 57, 'Computer Science': 60, 'Fisheries': 60, 'Economics': 52, 'Further Mathematics': 64}",Fail
45,45,WASSCE,Science,"{'Mathematics': 70, 'English': 60, 'Physics': 58, 'Chemistry': 72, 'Biology': 62, 'Civic Education': 68, 'Economics': 46}",Pass
46,46,WASSCE,Science,"{'Mathematics': 67, 'English': 50, 'Physics': 53, 'Chemistry': 46, 'Fisheries': 62, 'Data Processing': 53, 'Visual Art': 54}",Fail
47,47,WASSCE,Science,"{'Mathematics': 76, 'English': 46, 'Physics': 55, 'Chemistry': 62, 'Biology': 49, 'Agricultural Science': 51, 'Data Processing': 50}",Fail
48,48,WASSCE,Science,"{'Mathematics': 60, 'English': 63, 'Physics': 64, 'Chemistry': 46, 'Biology': 73, 'Computer Science': 43, 'Civic Education': 56}",Fail
49,49,WASSCE,Science,"{'Mathematics': 76, 'English': 56, 'Physics': 54, 'Chemistry': 52, 'Fisheries': 36, 'Further Mathematics': 61, 'Yoruba': 52}",Pass
50,50,WASSCE,Science,"{'Mathematics': 44, 'English': 61, 'Physics': 55, 'Chemistry': 47, 'Civic Education': 46, 'Fisheries': 66, 'Data Processing': 55, 'Visual Art': 52, 'Yoruba': 50}",Fail
51,51,WASSCE,Science,"{'Mathematics': 64, 'English': 70, 'Physics': 61, 'Chemistry': 63, 'Computer Science': 51, 'Civic Education': 51, 'Yoruba': 51}",Pass
52,52,WASSCE,Science,"{'Mathematics': 63, 'English': 45, 'Physics': 53, 'Chemistry': 63, 'Agricultural Science': 66, 'Civic Education': 54, 'Yoruba': 64}",Fail
53,53,WASSCE,Science,"{'Mathematics': 49, 'English': 62, 'Physics': 65, 'Chemistry': 58, 'Biology': 67, 'Civic Education': 58, 'Fisheries': 79}",Fail
54,54,WASSCE,Science,"{'Mathematics': 52, 'English': 46, 'Physics': 60, 'Chemistry': 56, 'Agricultural Science': 73, 'Fisheries': 68, 'Data Processing': 57, 'Visual Art': 57, 'Yoruba': 44}",Fail
55,55,WASSCE,Science,"{'Mathematics': 48, 'English': 50, 'Physics': 50, 'Chemistry': 58, 'Computer Science': 47, 'Civic Education': 48, 'Fisheries': 48, 'Economics': 53, 'Data Processing': 63}",Fail
56,56,WASSCE,Science,"{'Mathematics': 57, 'English': 40, 'Physics': 53, 'Chemistry': 52, 'Biology': 62, 'Civic Education': 57, 'Further Mathematics': 60, 'Yoruba': 58}",Fail
57,57,WASSCE,Science,"{'Mathematics': 69, 'English': 60, 'Physics': 53, 'Chemistry': 53, 'Biology': 58, 'Fisheries': 50, 'Visual Art': 46, 'Further Mathematics': 54, 'Yoruba': 68}",Pass
58,58,WASSCE,Science,"{'Mathematics': 43, 'English': 72, 'Physics': 61, 'Chemistry': 66, 'Agricultural Science': 59, 'Economics': 55, 'Data Processing': 48, 'Visual Art': 54, 'Yoruba': 47}",Fail
59,59,WASSCE,Science,"{'Mathematics': 61, 'English': 58, 'Physics': 67, 'Chemistry': 50, 'Economics': 60, 'Visual Art': 50, 'Yoruba': 60}",Pass
60,60,WASSCE,Science,"{'Mathematics': 44, 'English': 54, 'Physics': 52, 'Chemistry': 61, 'Computer Science': 61, 'Civic Education': 59, 'Further Mathematics': 61, 'Yoruba': 52}",Fail
61,61,WASSCE,Science,"{'Mathematics': 71, 'English': 61, 'Physics': 61, 'Chemistry': 37, 'Agricultural Science': 53, 'Computer Science': 56, 'Civic Education': 46, 'Visual Art': 58, 'Yoruba': 64}",Fail
62,62,WASSCE,Science,"{'Mathematics': 69, 'English': 65, 'Physics': 64, 'Chemistry': 56, 'Biology': 59, 'Agricultural Science': 61, 'Visual Art': 71, 'Further Mathematics': 51}",Pass
63,63,WASSCE,Science,"{'Mathematics': 46, 'English': 61, 'Physics': 54, 'Chemistry': 49, 'Agricultural Science': 62, 'Civic Education': 68, 'Fisheries': 45, 'Further Mathematics': 50}",Fail
64,64,WASSCE,Science,"{'Mathematics': 54, 'English': 60, 'Physics': 59, 'Chemistry': 47, 'Biology': 67, 'Fisheries': 60, 'Economics': 62, 'Visual Art': 52, 'Further Mathematics': 69}",Fail
65,65,WASSCE,Science,"{'Mathematics': 62, 'English': 56, 'Physics': 51, 'Chemistry': 55, 'Agricultural Science': 74, 'Computer Science': 62, 'Further Mathematics': 55, 'Yoruba': 63}",Pass
66,66,WASSCE,Science,"{'Mathematics': 49, 'English': 51, 'Physics': 64, 'Chemistry': 56, 'Agricultural Science': 65, 'Civic Education': 58, 'Economics': 53}",Fail
67,67,WASSCE,Science,"{'Mathematics': 54, 'English': 47, 'Physics': 57, 'Chemistry': 77, 'Biology': 61, 'Agricultural Science': 70, 'Economics': 68, 'Further Mathematics': 55}",Fail
68,68,WASSCE,Science,"{'Mathematics': 63, 'English': 58, 'Physics': 55, 'Chemistry': 59, 'Fisheries': 64, 'Economics': 46, 'Data Processing': 52, 'Visual Art': 50, 'Yoruba': 53}",Pass
69,69,WASSCE,Science,"{'Mathematics': 49, 'English': 60, 'Physics': 50, 'Chemistry': 62, 'Biology': 70, 'Fisheries': 52, 'Economics': 62, 'Data Processing': 65, 'Visual Art': 76}",Fail
70,70,WASSCE,Science,"{'Mathematics': 57, 'English': 61, 'Physics': 46, 'Chemistry': 70, 'Agricultural Science': 68, 'Fisheries': 63, 'Economics': 66}",Fail
71,71,WASSCE,Science,"{'Mathematics': 62, 'English': 79, 'Physics': 46, 'Chemistry': 56, 'Computer Science': 67, 'Fisheries': 68, 'Data Processing': 57, 'Further Mathematics': 47, 'Yoruba': 68}",Fail
72,72,WASSCE,Science,"{'Mathematics': 54, 'English': 59, 'Physics': 71, 'Chemistry': 51, 'Biology': 45, 'Agricultural Science': 63, 'Civic Education': 58, 'Economics': 53, 'Further Mathematics': 61}",Pass
73,73,WASSCE,Science,"{'Mathematics': 57, 'English': 45, 'Physics': 56, 'Chemistry': 62, 'Computer Science': 46, 'Fisheries': 61, 'Visual Art': 49, 'Further Mathematics': 45, 'Yoruba': 52}",Fail
74,74,WASSCE,Science,"{'Mathematics': 48, 'English': 83, 'Physics': 44, 'Chemistry': 58, 'Agricultural Science': 57, 'Computer Science': 77, 'Civic Education': 57, 'Fisheries': 44, 'Yoruba': 53}",Fail
75,75,WASSCE,Science,"{'Mathematics': 60, 'English': 63, 'Physics': 67, 'Chemistry': 55, 'Biology': 46, 'Computer Science': 61, 'Visual Art': 61, 'Further Mathematics': 62, 'Yoruba': 44}",Pass
76,76,WASSCE,Science,"{'Mathematics': 57, 'English': 65, 'Physics': 50, 'Chemistry': 54, 'Agricultural Science': 52, 'Computer Science': 69, 'Visual Art': 62}",Pass
77,77,WASSCE,Science,"{'Mathematics': 56, 'English': 71, 'Physics': 56, 'Chemistry': 62, 'Agricultural Science': 58, 'Civic Education': 55, 'Visual Art': 53, 'Further Mathematics': 47, 'Yoruba': 71}",Pass
78,78,WASSCE,Science,"{'Mathematics': 53, 'English': 68, 'Physics': 53, 'Chemistry': 62, 'Agricultural Science': 66, 'Computer Science': 47, 'Civic Education': 49, 'Further Mathematics': 68, 'Yoruba': 52}",Pass
79,79,WASSCE,Science,"{'Mathematics': 65, 'English': 57, 'Physics': 46, 'Chemistry': 63, 'Biology': 44, 'Computer Science': 73, 'Civic Education': 53, 'Economics': 51, 'Visual Art': 66}",Fail
80,80,WASSCE,Science,"{'Mathematics': 66, 'English': 63, 'Physics': 51, 'Chemistry': 65, 'Computer Science': 59, 'Civic Education': 61, 'Visual Art': 57, 'Further Mathematics': 57}",Pass
81,81,WASSCE,Science,"{'Mathematics': 57, 'English': 68, 'Physics': 67, 'Chemistry': 74, 'Agricultural Science': 44, 'Computer Science': 68, 'Civic Education': 51, 'Data Processing': 50, 'Yoruba': 60}",Pass
82,82,WASSCE,Science,"{'Mathematics': 45, 'English': 58, 'Physics': 45, 'Chemistry': 59, 'Biology': 51, 'Agricultural Science': 38, 'Economics': 60}",Fail
83,83,WASSCE,Science,"{'Mathematics': 60, 'English': 69, 'Physics': 62, 'Chemistry': 61, 'Computer Science': 52, 'Economics': 61, 'Data Processing': 43}",Pass
84,84,WASSCE,Arts,"{'English': 67, 'Literature in English': 60, 'History': 42, 'Government': 67, 'Fine Arts': 60, 'Mathematics': 43, 'Economics': 54, 'Religious Studies': 42, 'Marketing': 49, 'Agricultural Science': 60}",Fail
85,85,WASSCE,Arts,"{'English': 67, 'Literature in English': 54, 'History': 52, 'Government': 70, 'Fine Arts': 69, 'Mathematics': 66, 'Economics': 61, 'Religious Studies': 58, 'Marketing': 63, 'Biology': 51}",Pass
86,86,WASSCE,Arts,"{'English': 55, 'Literature in English': 58, 'History': 57, 'Government': 59, 'Fine Arts': 63, 'Economics': 68, 'Christian Religious Studies': 62, 'Agricultural Science': 64}",Pass
87,87,WASSCE,Arts,"{'English': 59, 'Literature in English': 61, 'History': 42, 'Government': 54, 'Fine Arts': 54, 'Mathematics': 65, 'Christian Religious Studies': 62, 'Marketing': 61, 'Biology': 58}",Pass
88,88,WASSCE,Arts,"{'English': 50, 'Literature in English': 52, 'History': 56, 'Government': 51, 'Fine Arts': 58, 'Mathematics': 39, 'Economics': 46, 'Commerce': 49, 'Christian Religious Studies': 45, 'Marketing': 52}",Fail
89,89,WASSCE,Arts,"{'English': 61, 'Literature in English': 64, 'History': 62, 'Government': 57, 'Fine Arts': 61, 'Economics': 59, 'Commerce': 57, 'Christian Religious Studies': 59, 'Agricultural Science': 47}",Pass
90,90,WASSCE,Arts,"{'English': 52, 'Literature in English': 57, 'History': 62, 'Government': 34, 'Fine Arts': 65, 'Mathematics': 53, 'Economics': 60, 'Marketing': 57, 'Religious Studies': 48}",Fail
91,91,WASSCE,Arts,"{'English': 67, 'Literature in English': 63, 'History': 53, 'Government': 63, 'Fine Arts': 64, 'Economics': 64, 'Commerce': 53, 'Biology': 50, 'Religious Studies': 58}",Pass
92,92,WASSCE,Arts,"{'English': 52, 'Literature in English': 39, 'History': 54, 'Government': 53, 'Fine Arts': 48, 'Mathematics': 48, 'Christian Religious Studies': 55, 'Marketing': 74, 'Biology': 60}",Fail
93,93,WASSCE,Arts,"{'English': 62, 'Literature in English': 63, 'History': 63, 'Government': 68, 'Fine Arts': 58, 'Economics': 81, 'Christian Religious Studies': 54, 'Marketing': 58, 'Biology': 55, 'Agricultural Science': 73}",Pass
94,94,WASSCE,Arts,"{'English': 58, 'Literature in English': 56, 'History': 52, 'Government': 46, 'Fine Arts': 70, 'Mathematics': 46, 'Economics': 59, 'Marketing': 73, 'Biology': 63, 'Agricultural Science': 64, 'Religious Studies': 39}",Fail
95,95,WASSCE,Arts,"{'English': 43, 'Literature in English': 67, 'History': 63, 'Government': 61, 'Fine Arts': 57, 'Economics': 47, 'Christian Religious Studies': 55, 'Agricultural Science': 61}",Fail
96,96,WASSCE,Arts,"{'English': 64, 'Literature in English': 65, 'History': 44, 'Government': 58, 'Fine Arts': 52, 'Mathematics': 68, 'Commerce': 58, 'Marketing': 72, 'Agricultural Science': 54, 'Religious Studies': 63}",Pass
97,97,WASSCE,Arts,"{'English': 51, 'Literature in English': 48, 'History': 61, 'Government': 64, 'Fine Arts': 47, 'Mathematics': 58, 'Economics': 58, 'Marketing': 42, 'Religious Studies': 40}",Fail
98,98,WASSCE,Arts,"{'English': 65, 'Literature in English': 53, 'History': 65, 'Government': 71, 'Fine Arts': 59, 'Commerce': 62, 'Christian Religious Studies': 64, 'Marketing': 60, 'Biology': 65, 'Agricultural Science': 51}",Pass
99,99,WASSCE,Arts,"{'English': 58, 'Literature in English': 55, 'History': 57, 'Government': 43, 'Fine Arts': 44, 'Economics': 59, 'Christian Religious Studies': 55, 'Marketing': 56, 'Agricultural Science': 57}",Fail
100,100,WASSCE,Arts,"{'English': 68, 'Literature in English': 50, 'History': 61, 'Government': 58, 'Fine Arts': 62, 'Commerce': 53, 'Biology': 56, 'Agricultural Science': 67, 'Religious Studies': 55}",Pass
101,101,WASSCE,Arts,"{'English': 51, 'Literature in English': 61, 'History': 56, 'Government': 68, 'Fine Arts': 46, 'Mathematics': 69, 'Christian Religious Studies': 67, 'Agricultural Science': 44}",Pass
102,102,WASSCE,Arts,"{'English': 58, 'Literature in English': 76, 'History': 64, 'Government': 68, 'Fine Arts': 47, 'Mathematics': 55, 'Economics': 54, 'Christian Religious Studies': 62, 'Marketing': 56, 'Biology': 57}",Pass
103,103,WASSCE,Arts,"{'English': 49, 'Literature in English': 56, 'History': 55, 'Government': 69, 'Fine Arts': 74, 'Economics': 50, 'Christian Religious Studies': 57, 'Marketing': 55, 'Biology': 72, 'Agricultural Science': 47}",Fail
104,104,WASSCE,Arts,"{'English': 59, 'Literature in English': 72, 'History': 56, 'Government': 45, 'Fine Arts': 75, 'Mathematics': 59, 'Economics': 71, 'Marketing': 63, 'Religious Studies': 48}",Fail
105,105,WASSCE,Arts,"{'English': 60, 'Literature in English': 58, 'History': 46, 'Government': 71, 'Fine Arts': 51, 'Mathematics': 44, 'Marketing': 68, 'Biology': 72, 'Religious Studies': 75}",Fail
106,106,WASSCE,Arts,"{'English': 69, 'Literature in English': 50, 'History': 49, 'Government': 59, 'Fine Arts': 66, 'Economics': 53, 'Christian Religious Studies': 55, 'Marketing': 52, 'Biology': 56, 'Agricultural Science': 56}",Pass
107,107,WASSCE,Arts,"{'English': 46, 'Literature in English': 56, 'History': 57, 'Government': 60, 'Fine Arts': 47, 'Mathematics': 58, 'Economics': 46, 'Commerce': 60, 'Christian Religious Studies': 55, 'Biology': 62}",Fail
108,108,WASSCE,Arts,"{'English': 51, 'Literature in English': 64, 'History': 50, 'Government': 44, 'Fine Arts': 45, 'Commerce': 47, 'Christian Religious Studies': 50, 'Marketing': 77, 'Agricultural Science': 64}",Fail
109,109,WASSCE,Arts,"{'English': 49, 'Literature in English': 53, 'History': 41, 'Government': 50, 'Fine Arts': 65, 'Economics': 58, 'Commerce': 51, 'Christian Religious Studies': 39, 'Biology': 58, 'Agricultural Science': 50}",Fail
110,110,WASSCE,Arts,"{'English': 55, 'Literature in English': 38, 'History': 50, 'Government': 48, 'Fine Arts': 70, 'Mathematics': 75, 'Biology': 56, 'Agricultural Science': 64, 'Religious Studies': 48}",Fail
111,111,WASSCE,Arts,"{'English': 49, 'Literature in English': 52, 'History': 66, 'Government': 58, 'Fine Arts': 50, 'Mathematics': 43, 'Christian Religious Studies': 41, 'Marketing': 58}",Fail
112,112,WASSCE,Arts,"{'English': 44, 'Literature in English': 59, 'History': 61, 'Government': 49, 'Fine Arts': 48, 'Mathematics': 45, 'Biology': 73, 'Agricultural Science': 75, 'Religious Studies': 48}",Fail
113,113,WASSCE,Arts,"{'English': 49, 'Literature in English': 59, 'History': 66, 'Government': 75, 'Fine Arts': 58, 'Mathematics': 61, 'Economics': 57, 'Commerce': 66, 'Biology': 65, 'Religious Studies': 38}",Fail
114,114,WASSCE,Arts,"{'English': 56, 'Literature in English': 39, 'History': 43, 'Government': 48, 'Fine Arts': 54, 'Mathematics': 58, 'Economics': 58, 'Christian Religious Studies': 55, 'Biology': 47, 'Agricultural Science': 55}",Fail
115,115,WASSCE,Arts,"{'English': 58, 'Literature in English': 46, 'History': 69, 'Government': 52, 'Fine Arts': 65, 'Mathematics': 62, 'Economics': 47, 'Commerce': 52, 'Agricultural Science': 65, 'Religious Studies': 50}",Fail
116,116,WASSCE,Arts,"{'English': 68, 'Literature in English': 50, 'History': 54, 'Government': 69, 'Fine Arts': 56, 'Commerce': 58, 'Christian Religious Studies': 53, 'Biology': 59}",Pass
117,117,WASSCE,Arts,"{'English': 64, 'Literature in English': 58, 'History': 45, 'Government': 55, 'Fine Arts': 63, 'Mathematics': 65, 'Commerce': 47, 'Christian Religious Studies': 60, 'Biology': 64, 'Agricultural Science': 62}",Pass
118,118,WASSCE,Arts,"{'English': 59, 'Literature in English': 62, 'History': 53, 'Government': 57, 'Fine Arts': 58, 'Commerce': 59, 'Christian Religious Studies': 69, 'Marketing': 51, 'Biology': 75}",Pass
119,119,WASSCE,Arts,"{'English': 43, 'Literature in English': 53, 'History': 50, 'Government': 41, 'Fine Arts': 54, 'Mathematics': 50, 'Commerce': 44, 'Christian Religious Studies': 54, 'Biology': 68, 'Agricultural Science': 45}",Fail
120,120,WASSCE,Arts,"{'English': 56, 'Literature in English': 51, 'History': 62, 'Government': 59, 'Fine Arts': 57, 'Mathematics': 36, 'Christian Religious Studies': 44, 'Marketing': 62, 'Biology': 49, 'Agricultural Science': 56}",Fail
121,121,WASSCE,Arts,"{'English': 68, 'Literature in English': 42, 'History': 42, 'Government': 47, 'Fine Arts': 61, 'Economics': 58, 'Marketing': 47, 'Agricultural Science': 68, 'Religious Studies': 77}",Fail
122,122,WASSCE,Arts,"{'English': 58, 'Literature in English': 59, 'History': 66, 'Government': 57, 'Fine Arts': 58, 'Mathematics': 58, 'Economics': 58, 'Commerce': 48, 'Christian Religious Studies': 67}",Pass
123,123,WASSCE,Arts,"{'English': 61, 'Literature in English': 52, 'History': 57, 'Government': 72, 'Fine Arts': 55, 'Mathematics': 59, 'Economics': 50, 'Commerce': 49, 'Marketing': 67, 'Religious Studies': 52}",Pass
124,124,WASSCE,Arts,"{'English': 52, 'Literature in English': 48, 'History': 48, 'Government': 52, 'Fine Arts': 51, 'Commerce': 56, 'Christian Religious Studies': 58, 'Marketing': 57, 'Religious Studies': 30}",Fail
125,125,WASSCE,Arts,"{'English': 46, 'Literature in English': 39, 'History': 57, 'Government': 67, 'Fine Arts': 65, 'Economics': 69, 'Christian Religious Studies': 66, 'Marketing': 38, 'Agricultural Science': 48}",Fail
126,126,WASSCE,Arts,"{'English': 38, 'Literature in English': 60, 'History': 53, 'Government': 66, 'Fine Arts': 52, 'Christian Religious Studies': 72, 'Biology': 46, 'Agricultural Science': 68}",Fail
127,127,WASSCE,Arts,"{'English': 53, 'Literature in English': 61, 'History': 60, 'Government': 69, 'Fine Arts': 48, 'Economics': 55, 'Commerce': 69, 'Christian Religious Studies': 50, 'Biology': 52, 'Agricultural Science': 71}",Pass
128,128,WASSCE,Arts,"{'English': 44, 'Literature in English': 58, 'History': 79, 'Government': 50, 'Fine Arts': 56, 'Commerce': 49, 'Christian Religious Studies': 55, 'Marketing': 59}",Fail
129,129,WASSCE,Arts,"{'English': 46, 'Literature in English': 48, 'History': 69, 'Government': 43, 'Fine Arts': 59, 'Christian Religious Studies': 57, 'Marketing': 47, 'Biology': 70, 'Agricultural Science': 83}",Fail
130,130,WASSCE,Arts,"{'English': 53, 'Literature in English': 51, 'History': 37, 'Government': 50, 'Fine Arts': 58, 'Mathematics': 44, 'Commerce': 51, 'Christian Religious Studies': 49, 'Marketing': 59}",Fail
